Feature,Model,Accuracy,Precision,Recall,F1,Kappa
TF-IDF,Logistic Regression,0.9725999999999999,0.9809364531301797,0.9661892130857648,0.9734604390893274,0.9451458447186238
TF-IDF,SVM,0.9818,0.9880019991116633,0.9769378131447096,0.9824074280666254,0.9635573790341947
TF-IDF,Random Forest,0.9935999999999998,0.995413536682397,0.9923121131741821,0.9938400247010554,0.9871804728235318
TF-IDF,MLP,0.9710000000000001,0.9768201088679422,0.967348953728264,0.972006465026346,0.9419263831453716
TF-IDF,KNN,0.8502000000000001,0.8974870632402807,0.8044488653109344,0.848149620991539,0.7012272673469224
TF-IDF,J48,0.9888,0.9893261685224255,0.9892440318302388,0.9892530302258031,0.9775596619322414
TF-IDF,PART,0.9888,0.9893261685224255,0.9892440318302388,0.9892530302258031,0.9775596619322414
Entropy,Logistic Regression,0.9703999999999999,0.9789730330966737,0.9638829944002356,0.9713320107488261,0.9407408724084052
Entropy,SVM,0.9812,0.9880286669484908,0.9757928087238431,0.9818382517325468,0.9623542224331801
Entropy,Random Forest,0.9941999999999999,0.9961580268412232,0.9926967285587974,0.9944092126618342,0.9883837318348021
Entropy,MLP,0.9702,0.9737911604777434,0.9688815207780724,0.9713041748274603,0.9403118038321072
Entropy,KNN,0.7004,0.6416255954421368,0.9696507515473032,0.7717241371163521,0.38602807605866724
Entropy,J48,0.9892,0.9893159069854214,0.9900088417329798,0.9896400140198509,0.9783604963819563
Entropy,PART,0.9892,0.9893159069854214,0.9900088417329798,0.9896400140198509,0.9783604963819563
TF-IDF+Entropy,Logistic Regression,0.9703999999999999,0.9789730330966737,0.9638829944002356,0.9713320107488261,0.9407408724084052
TF-IDF+Entropy,SVM,0.9812,0.9880286669484908,0.9757928087238431,0.9818382517325468,0.9623542224331801
TF-IDF+Entropy,Random Forest,0.9941999999999999,0.9961580268412232,0.9926967285587974,0.9944092126618342,0.9883837318348021
TF-IDF+Entropy,MLP,0.9702,0.9737911604777434,0.9688815207780724,0.9713041748274603,0.9403118038321072
TF-IDF+Entropy,KNN,0.7004,0.6416255954421368,0.9696507515473032,0.7717241371163521,0.38602807605866724
TF-IDF+Entropy,J48,0.9892,0.9893159069854214,0.9900088417329798,0.9896400140198509,0.9783604963819563
TF-IDF+Entropy,PART,0.9892,0.9893159069854214,0.9900088417329798,0.9896400140198509,0.9783604963819563
SVD,Logistic Regression,0.9703999999999999,0.9782176635304252,0.9646507515473031,0.9713384390470752,0.9407397774899187
SVD,SVM,0.9782,0.9845222703921852,0.9734851164161507,0.978941231477312,0.9563465950895325
SVD,Random Forest,0.9272,0.9542300533116949,0.9035750073681108,0.9281150880601461,0.854492120740734
SVD,MLP,0.978,0.9807422176221301,0.9769422340111996,0.9788218345313464,0.9559332010702452
SVD,KNN,0.8622,0.8325745576538413,0.9212363689949898,0.8744778056704119,0.7226312231604817
SVD,J48,0.8572000000000001,0.8621553735188787,0.8640229885057471,0.8629058410346065,0.7139041923534806
SVD,PART,0.8572000000000001,0.8621553735188787,0.8640229885057471,0.8629058410346065,0.7139041923534806
TF-IDF+SVD,Logistic Regression,0.9698,0.9774764033029466,0.9642631889183612,0.970767310080821,0.939536216947969
TF-IDF+SVD,SVM,0.9782,0.9837786174897027,0.9742558208075449,0.9789620618746563,0.95634289856804
TF-IDF+SVD,Random Forest,0.9259999999999999,0.9518977224558712,0.9035735337459474,0.9270329674376105,0.8520770408249636
TF-IDF+SVD,MLP,0.9774,0.9792807758078401,0.9773312702623048,0.978270717682683,0.9547266869558488
TF-IDF+SVD,KNN,0.8640000000000001,0.8368208734996498,0.9185632183908046,0.8755304849383803,0.7263712220308103
TF-IDF+SVD,J48,0.8524,0.8582963435066399,0.8586236368994988,0.8582602213468167,0.7042811859373849
TF-IDF+SVD,PART,0.8524,0.8582963435066399,0.8586236368994988,0.8582602213468167,0.7042811859373849
PCA,Logistic Regression,0.97,0.9785985353447177,0.9634983790156204,0.9709284522303948,0.9399426936390434
PCA,SVM,0.9782,0.9841525663079415,0.9738697318007661,0.9789517190705016,0.9563448247274561
PCA,Random Forest,0.9248000000000001,0.9489093044078334,0.9043412908930151,0.9260057491295308,0.8496512365332377
PCA,MLP,0.9763999999999999,0.978498636292262,0.9761700559976422,0.9773006144070158,0.9527245841323729
PCA,KNN,0.8618,0.832492079755507,0.9204730327144122,0.8740667446080227,0.7218349941679986
PCA,J48,0.8625999999999999,0.8656811920665914,0.8720674918950782,0.8685360346505402,0.7246273551728027
PCA,PART,0.8625999999999999,0.8656811920665914,0.8720674918950782,0.8685360346505402,0.7246273551728027
